,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite CS,Asite IP,Bsite IP,Asite d,Bsite d,Bsite atomic_radius,Asite exp_EA,Bsite exp_EA,GM,Asite Z,Work function
854,Tl,Mo,B,0.9990000000000001,3.33841,0.45897,0.3709,-36.32525,-3.1722900000000003,0.88,5.273,6.4838,0.46299999999999997,0.49,1.45,19.2,71.9,5.56757,81,3.94531
856,Tl,Ta,B,0.99868,3.73538,0.26195,0.33994,-35.0651,-2.38556,0.83,5.273,7.3632,0.46299999999999997,0.605,1.45,19.2,31.0,5.62628,81,3.04171
858,Tl,Sc,B,0.9990000000000001,4.66199,0.11214,0.21885,-24.55263,-0.58158,0.74,5.273,6.8245,0.46299999999999997,0.31,1.6,19.2,18.1,5.39762,81,5.19985
860,In,Sb,B,0.99957,3.49337,0.99995,0.99913,1.52371,-2.68292,2.08,5.3782,8.3266,0.36,0.335,1.45,28.9,103.2,5.77888,49,3.85675
862,In,In,B,0.99955,5.35561,0.99955,0.99975,5.35561,-0.79864,1.6,5.3782,5.3782,0.36,0.36,1.55,28.9,28.9,5.28406,49,4.026680000000002
863,In,In,B,0.99955,5.35561,0.99955,0.99975,5.35561,-0.79864,1.6,5.3782,5.3782,0.36,0.36,1.55,28.9,28.9,5.28406,49,4.026680000000002
866,In,Ge,B,0.99938,3.61597,0.99994,0.99935,2.76811,-2.90301,1.92,5.3782,7.4167,0.36,0.16,1.25,28.9,119.0,5.7180300000000015,49,4.40117
868,In,Sn,B,0.9995,3.79676,0.99982,0.99861,3.93273,-1.95155,1.84,5.3782,6.8885,0.36,0.345,1.45,28.9,107.3,5.6414300000000015,49,4.12924
870,Tl,V,B,0.99895,4.2752300000000005,0.32034,0.32589,-39.02293,-2.43114,0.84,5.273,6.4707,0.46299999999999997,0.26,1.35,19.2,50.6,5.47915,81,5.66348
872,Tl,Nb,B,0.99876,3.79652,0.28673000000000004,0.3543,-31.820970000000006,-2.3848700000000003,0.82,5.273,6.275,0.46299999999999997,0.51,1.45,19.2,86.1,5.59583,81,3.77899
874,Tl,Zr,B,0.99891,4.49078,0.18507,0.29119,-24.45028,-0.66802,0.76,5.273,6.8953,0.46299999999999997,0.54,1.55,19.2,41.1,5.49127,81,5.96471
876,Tl,Hf,B,0.9987,4.5360000000000005,0.19135,0.2939,-27.99498,-0.67255,0.775,5.273,7.6487,0.46299999999999997,0.63,1.55,19.2,0.0,5.53872,81,5.87774
878,Tl,Ti,B,0.99898,4.37753,0.18633,0.2939,-32.70038,-1.58553,0.79,5.273,7.2564,0.46299999999999997,0.28,1.4,19.2,7.6,5.43271,81,5.76673
880,In,Ga,B,0.99937,4.9729,0.99953,0.99874,6.47056,-0.96187,1.68,5.3782,5.6565,0.36,0.17,1.3,28.9,28.9,5.31772,49,5.07908
882,In,Al,B,0.99917,5.3359,0.0,0.0,8.4505,-1.12869,1.66,5.3782,5.7109,0.36,0.0,1.25,28.9,42.5,5.32765,49,5.4077
884,In,Fe,B,0.99957,3.58212,0.7832899999999999,0.37396,-53.61952,-2.9272,0.99,5.3782,8.5601,0.36,0.22,1.4,28.9,15.7,5.577000000000001,49,5.2446199999999985
886,Sb,Ta,B,0.9999,-1.07472,0.30706,0.32943,-35.98,-4.3642400000000015,0.83,8.3266,7.3632,0.335,0.605,1.45,103.2,31.0,6.1142,51,3.4644699999999995
888,Sb,Mo,B,0.99994,-1.07596,0.49787,0.35168,-36.22679,-4.27618,0.88,8.3266,6.4838,0.335,0.49,1.45,103.2,71.9,6.0504,51,3.2941300000000004
889,Sb,Nb,B,0.99991,-1.02131,0.33432,0.33548,-32.21092,-4.08211,0.82,8.3266,6.275,0.335,0.51,1.45,103.2,86.1,6.08111,51,3.6021300000000003
891,Sb,Ti,B,0.99993,-1.01166,0.19983,0.2838,-34.29623,-3.87879,0.79,8.3266,7.2564,0.335,0.28,1.4,103.2,7.6,5.90385,51,3.02996
893,Sb,Hf,B,0.99987,-0.70133,0.1954,0.33779000000000003,-30.15841,-3.26278,0.775,8.3266,7.6487,0.335,0.63,1.55,103.2,0.0,6.01905,51,3.27491
895,Sb,Zr,B,0.9999,-0.7353,0.18863,0.29925,-26.522920000000006,-3.01518,0.76,8.3266,6.8953,0.335,0.54,1.55,103.2,41.1,5.96749,51,3.24357
897,Sb,Sc,B,0.99991,0.64651,0.11861,0.23169,-24.40701,-0.97035,0.74,8.3266,6.8245,0.335,0.31,1.6,103.2,18.1,5.86571,51,3.838330000000001
